5?16-32 or 0.3125-32 UNEF CLASS 3,5?16-32,0.3125-32,UNEF,3A,0,0.3125,0.3065,0,0.2922,0.2897,0.0025,0.2753,3B,0.279,0.2846,0.2922,0.2954,0.0032,0.3125
3?8-16 or 0.3750-16 UNC CLASS 1,3?8-16,0.3750-16,UNC,1A,0.0013,0.3737,0.3595,0,0.3331,0.3266,0.0065,0.2993,1B,0.307,0.321,0.3344,0.3429,0.0085,0.375
3?8-16 or 0.3750-16 UNC CLASS 2,3?8-16,0.3750-16,UNC,2A,0.0013,0.3737,0.3643,0.3595,0.3331,0.3287,0.004363,0.2993,2B,0.307,0.321,0.3344,0.3401,0.0057,0.375
3?8-16 or 0.3750-16 UNC CLASS 3,3?8-16,0.3750-16,UNC,3A,0,0.375,0.3656,0,0.3344,0.3311,0.0033,0.3006,3B,0.307,0.3182,0.3344,0.3387,0.0043,0.375
3?8-20 or 0.3750-20 UN CLASS 2,3?8-20,0.3750-20,UN,2A,0.0012,0.3738,0.3657,0,0.3413,0.3372,0.004124,0.3143,2B,0.321,0.332,0.3425,0.3479,0.0054,0.375
3?8-20 or 0.3750-20 UN CLASS 3,3?8-20,0.3750-20,UN,3A,0,0.375,0.3669,0,0.3425,0.3394,0.0031,0.3155,3B,0.321,0.3297,0.3425,0.3465,0.004,0.375
3?8-24 or 0.3750-24 UNF CLASS 1,3?8-24,0.3750-24,UNF,1A,0.0011,0.3739,0.3631,0,0.3468,0.3411,0.0057,0.3243,1B,0.33,0.34,0.3479,0.3553,0.0074,0.375
3?8-24 or 0.3750-24 UNF CLASS 2,3?8-24,0.3750-24,UNF,2A,0.0011,0.3739,0.3667,0,0.3468,0.343,0.003804,0.3243,2B,0.33,0.34,0.3479,0.3528,0.0049,0.375
3?8-24 or 0.3750-24 UNF CLASS 3,3?8-24,0.3750-24,UNF,3A,0,0.375,0.3678,0,0.3479,0.345,0.0029,0.3254,3B,0.33,0.3372,0.3479,0.3516,0.0037,0.375
3?8-28 or 0.3750-28 UN CLASS 2,3?8-28,0.3750-28,UN,2A,0.0011,0.3739,0.3674,0,0.3507,0.3471,0.003559,0.3314,2B,0.336,0.345,0.3518,0.3564,0.0046,0.375
3?8-28 or 0.3750-28 UN CLASS 3,3?8-28,0.3750-28,UN,3A,0,0.375,0.3685,0,0.3518,0.3491,0.0027,0.3325,3B,0.336,0.3426,0.3518,0.3553,0.0035,0.375
3?8-32 or 0.3750-32 UNEF CLASS 2,3?8-32,0.3750-32,UNEF,2A,0.001,0.374,0.368,0,0.3537,0.3503,0.003366,0.3368,2B,0.341,0.349,0.3547,0.3591,0.0044,0.375
